student_id,department,gender,attendance_rate,study_hours_per_week,previous_grade,socio_economic_band,final_grade,risk_category
89,Health,Female,59,6.0,69,High,49.956021258900876,High Risk
90,Engineering,Male,61,4.0,86,High,53.87648502629305,Medium Risk
91,Engineering,Female,87,22.0,62,Medium,62.90002472228447,Medium Risk
92,Business,Male,94,27.0,52,Low,74.00442868791222,Low Risk
93,Engineering,Female,50,33.0,70,Low,85.4991299270825,Low Risk
94,Engineering,Male,52,14.0,67,High,50.494055191337,Medium Risk
95,Business,Female,98,31.0,98,Medium,95.890193915374,Low Risk
96,Engineering,Female,81,25.0,60,High,69.55027542014487,Low Risk
97,Arts,Male,42,30.0,82,High,73.77790866009117,Low Risk
98,IT,Male,48,18.0,74,Low,56.601263012054204,Medium Risk
99,IT,Male,99,8.0,51,Low,59.270449012948355,Medium Risk
100,Business,Male,51,28.0,74,High,73.1838804737416,Low Risk
101,Health,Female,62,3.0,41,Medium,40.8912856906421,High Risk
102,Business,Female,53,17.0,91,Medium,43.64435300286624,High Risk
103,Health,Male,72,28.0,42,High,65.05795710270257,Low Risk
104,IT,Female,57,10.0,90,High,58.245664210327185,Medium Risk
105,Business,Male,88,32.0,65,Medium,87.08388146053156,Low Risk
106,Arts,Male,98,10.0,93,Medium,68.19067281675778,Low Risk
107,Engineering,Female,80,26.0,92,Medium,90.29392282555006,Low Risk
108,Health,Female,48,17.0,46,High,72.81849354310566,Low Risk
109,Engineering,Male,62,20.0,82,Low,63.366765914186495,Medium Risk
110,Engineering,Male,49,30.0,65,Medium,67.50476263063861,Low Risk
111,Business,Male,58,1.0,97,Medium,49.258410950247445,High Risk
112,Engineering,Female,86,26.0,73,Medium,95.74431722806497,Low Risk
113,Arts,Female,44,10.0,54,High,40.52059936875268,High Risk
114,Engineering,Female,86,17.0,82,Low,83.26575265293681,Low Risk
115,Business,Female,91,0.0,88,Low,50.50020802936034,Medium Risk
116,Arts,Male,62,34.0,63,Medium,72.11209420301381,Low Risk
117,IT,Male,69,34.0,82,High,82.6803728089108,Low Risk
118,Engineering,Male,64,30.0,90,Low,78.62586413132085,Low Risk
119,Business,Male,67,27.0,51,High,66.04260759504902,Low Risk
120,IT,Male,73,0.0,43,Low,32.697330783671006,High Risk
121,IT,Male,84,17.0,68,Medium,70.48395044359256,Low Risk
122,Health,Female,95,17.0,79,High,84.00083197883997,Low Risk
123,Arts,Female,87,2.0,43,Medium,50.69276173507899,Medium Risk
124,Engineering,Male,86,1.0,41,Low,46.945778990251895,High Risk
125,Business,Male,64,17.0,50,Low,58.54399373350597,Medium Risk
126,Health,Female,49,9.0,53,Medium,43.70645839467731,High Risk
127,Arts,Female,53,4.0,40,Low,31.317815856004543,High Risk
128,Health,Female,81,8.0,45,Medium,43.13105497146944,High Risk
129,Arts,Female,96,1.0,95,Medium,65.32797422059612,Low Risk
130,Arts,Male,85,33.0,76,Medium,81.35821764471922,Low Risk
131,Engineering,Male,97,30.0,47,Low,72.58647442494764,Low Risk
132,Arts,Male,69,9.0,46,High,53.61747953722885,Medium Risk
133,Health,Male,94,11.0,54,Medium,70.60389425033252,Low Risk
134,Arts,Male,80,20.0,84,High,77.7597708289989,Low Risk
135,Engineering,Female,64,5.0,70,Low,55.83874291376787,Medium Risk
136,Engineering,Male,53,2.0,71,Low,41.4749100953361,High Risk
137,Health,Female,74,9.0,46,High,40.17395488347389,High Risk
138,IT,Male,91,4.0,74,Medium,61.27302971171151,Medium Risk
139,IT,Male,87,25.0,88,Low,87.81573593962037,Low Risk
140,Arts,Male,73,20.0,36,Medium,56.93001132328146,Medium Risk
141,Business,Male,49,25.0,84,Medium,70.14574725136933,Low Risk
142,Arts,Male,74,25.0,75,High,81.72326347148659,Low Risk
143,Health,Female,50,7.0,79,Low,44.435601799435155,High Risk
144,Health,Female,50,4.0,43,High,29.80731652665605,High Risk
145,Health,Female,60,14.0,96,Low,60.95136095943743,Medium Risk
146,Health,Male,60,15.0,81,High,63.35983777581496,Medium Risk
147,Health,Male,61,0.0,39,Low,25.42264192734445,High Risk
148,Engineering,Female,84,15.0,35,Low,49.84454691690854,High Risk
149,IT,Male,46,2.0,78,Low,39.06546662663681,High Risk
150,Health,Male,94,17.0,56,Medium,79.23635000599624,Low Risk
151,Business,Female,56,12.0,72,Medium,46.27575332157614,High Risk
152,Business,Male,41,15.0,53,High,47.873229952223596,High Risk
153,Business,Female,51,20.0,65,High,67.53382190398807,Low Risk
154,Business,Male,96,1.0,76,Low,57.31294823390056,Medium Risk
155,Engineering,Female,81,26.0,60,Low,83.14792686880793,Low Risk
156,Business,Male,57,25.0,47,Medium,69.05398911526154,Low Risk
157,Health,Male,93,24.0,92,Medium,91.16641028348712,Low Risk
158,Arts,Female,98,10.0,52,Medium,59.048115055821306,Medium Risk
159,Business,Male,50,17.0,37,High,35.78500232947263,High Risk
160,Engineering,Male,55,7.0,89,Medium,59.93279863417956,Medium Risk
161,Engineering,Female,88,32.0,92,High,91.4499763429758,Low Risk
162,Business,Male,90,6.0,97,Medium,56.254875491195214,Medium Risk
163,Arts,Female,57,20.0,86,Medium,72.15202432461774,Low Risk
164,Business,Male,74,17.0,58,Low,43.413588220390174,High Risk
165,Engineering,Male,92,20.0,43,High,58.877152630857694,Medium Risk
166,IT,Male,98,19.0,71,Medium,75.15134368797473,Low Risk
167,Health,Male,65,7.0,87,Low,57.079250734679185,Medium Risk
168,Engineering,Female,55,30.0,58,High,61.32754636210622,Medium Risk
169,Business,Male,45,28.0,55,High,64.54294938479885,Medium Risk
170,Health,Female,96,8.0,74,Medium,69.29683796516629,Low Risk
171,Business,Male,83,14.0,96,High,67.1299505784053,Low Risk
172,Business,Male,82,29.0,48,Low,80.93489998509256,Low Risk
173,IT,Male,86,25.0,76,Low,70.53897504922034,Low Risk
174,Health,Male,86,9.0,84,High,77.80394486622573,Low Risk
175,Health,Female,87,28.0,95,Low,87.68243741709911,Low Risk
176,IT,Female,81,15.0,38,High,54.97370198096135,Medium Risk
177,Engineering,Female,51,19.0,51,Low,42.697798565085975,High Risk
178,Business,Female,99,21.0,91,High,84.27718360118415,Low Risk
179,Arts,Male,52,6.0,82,High,52.27089306630915,Medium Risk
180,Business,Female,43,22.0,78,High,63.88302737540304,Medium Risk
181,Business,Female,78,28.0,79,Low,78.47151353768575,Low Risk
182,Engineering,Male,93,15.0,67,High,62.170612888833105,Medium Risk
183,Business,Male,41,27.0,65,High,71.53315971722387,Low Risk
184,IT,Male,65,30.0,81,Medium,81.0348428099877,Low Risk
185,IT,Male,98,17.0,40,Medium,66.94451425910063,Low Risk
186,Health,Female,66,32.0,68,High,75.64110587123047,Low Risk
187,Arts,Female,66,8.0,87,Medium,56.441231839766694,Medium Risk
188,Business,Male,54,26.0,48,High,66.49356546757699,Low Risk
189,Business,Male,47,23.0,50,Medium,47.16215022797862,High Risk
190,Engineering,Male,46,12.0,77,Low,46.669219839082466,High Risk
191,IT,Female,86,25.0,46,Low,75.98490982811899,Low Risk
192,Arts,Female,94,28.0,53,High,70.51839642466084,Low Risk
193,Health,Male,85,27.0,75,High,70.53569390818471,Low Risk
194,IT,Male,79,27.0,87,Low,95.06116312843854,Low Risk
195,Health,Female,99,7.0,63,Low,51.08709411275477,Medium Risk
196,Engineering,Male,51,22.0,93,Medium,73.15471638996901,Low Risk
197,Engineering,Male,52,28.0,98,High,81.11451115634563,Low Risk
198,Business,Female,82,4.0,58,Low,32.43623010029149,High Risk
199,Arts,Male,56,6.0,50,Low,39.29609786099314,High Risk
200,Health,Female,56,26.0,86,High,78.19047949687466,Low Risk
201,IT,Male,95,17.0,40,Medium,45.72585628911317,High Risk
202,Engineering,Male,75,24.0,71,Medium,79.17112410282101,Low Risk
203,Business,Female,60,8.0,38,Medium,37.77505211056739,High Risk
204,Business,Female,47,26.0,72,Medium,72.17502665255297,Low Risk
205,Health,Male,44,0.0,75,Low,35.314025591519574,High Risk
206,Engineering,Female,65,17.0,48,High,52.03719550152335,Medium Risk
207,Arts,Male,55,9.0,85,High,48.363629745912604,High Risk
208,Engineering,Male,75,24.0,99,Low,74.77733726882751,Low Risk
209,Health,Female,67,2.0,86,Low,58.457515807347164,Medium Risk
210,Health,Male,93,17.0,64,Low,46.71255894564866,High Risk
211,Engineering,Male,68,5.0,91,High,59.39423304389582,Medium Risk
212,Health,Female,86,1.0,64,High,47.70445483556541,High Risk
213,Engineering,Female,51,17.0,76,High,59.98410855929621,Medium Risk
214,IT,Male,76,22.0,45,Medium,70.9316437711982,Low Risk
215,Engineering,Female,69,1.0,61,Low,40.51943579670836,High Risk
216,Engineering,Female,62,11.0,58,Low,54.669609369298094,Medium Risk
217,Health,Female,55,21.0,73,Low,65.37538010828668,Low Risk
218,Health,Female,53,19.0,52,High,54.087886566203814,Medium Risk
219,Business,Male,49,23.0,79,Low,81.44981474631884,Low Risk
220,Business,Male,46,19.0,46,Low,42.15194952570778,High Risk
221,IT,Male,84,0.0,83,Medium,61.98479101262467,Medium Risk
222,Business,Female,91,0.0,65,High,53.98843939293983,Medium Risk
223,Engineering,Female,99,16.0,56,Low,64.0228500322093,Medium Risk
224,Health,Female,76,0.0,78,High,59.87591110464967,Medium Risk
225,Business,Female,68,29.0,98,High,75.51133932566877,Low Risk
226,Business,Female,42,17.0,59,High,32.31940005620557,High Risk
227,IT,Female,54,10.0,85,Medium,49.69910677438554,High Risk
228,IT,Female,75,23.0,41,High,64.62250078922877,Medium Risk
229,Engineering,Male,86,21.0,40,High,56.221615392876934,Medium Risk
230,Health,Male,85,25.0,58,High,75.8983836804479,Low Risk
231,IT,Female,91,12.0,53,Low,57.931381505070675,Medium Risk
232,Business,Female,58,0.0,43,Medium,29.57387634406349,High Risk
233,Health,Female,52,23.0,70,Low,67.73188347619987,Low Risk
234,Health,Male,81,9.0,74,Medium,58.488270256371614,Medium Risk
235,Business,Male,60,34.0,58,Medium,69.16819094164578,Low Risk
236,IT,Female,76,23.0,82,High,93.60823793780986,Low Risk
237,Business,Female,66,27.0,97,High,80.52699690182513,Low Risk
238,Health,Male,94,15.0,87,Low,61.844345519087916,Medium Risk
239,Arts,Male,91,15.0,88,Medium,69.54740786167166,Low Risk
240,Arts,Male,68,16.0,76,High,56.99633986976362,Medium Risk
241,Engineering,Male,59,14.0,79,High,65.7068736962431,Low Risk
242,Business,Female,64,15.0,48,High,54.42991595754952,Medium Risk
243,Business,Male,45,14.0,63,High,53.34227681074207,Medium Risk
244,Engineering,Male,75,33.0,40,Low,70.57986520497654,Low Risk
245,Engineering,Female,41,17.0,41,Low,35.97389851765847,High Risk
246,Engineering,Male,61,0.0,71,High,40.92441337835399,High Risk
247,Health,Male,71,14.0,87,High,66.66284089518719,Low Risk
248,Business,Male,55,25.0,52,High,67.21200061218902,Low Risk
249,Health,Female,57,3.0,72,High,47.61645247503208,High Risk
250,Engineering,Male,44,4.0,93,High,53.1506769777252,Medium Risk
251,Business,Female,93,34.0,35,Medium,80.54735344949523,Low Risk
252,Health,Female,75,17.0,78,Medium,68.30665462429043,Low Risk
253,Health,Male,69,9.0,81,Medium,60.67890024924152,Medium Risk
254,Engineering,Male,84,10.0,69,Medium,62.503088436073504,Medium Risk
255,Business,Male,58,17.0,94,High,76.13283744715893,Low Risk
256,Engineering,Male,62,33.0,86,Medium,81.00972449198133,Low Risk
257,Business,Female,73,22.0,42,Medium,55.66554452029095,Medium Risk
258,Arts,Male,52,6.0,75,Low,41.33447040487887,High Risk
259,IT,Male,82,2.0,37,Medium,40.847487381721535,High Risk
260,IT,Male,93,11.0,48,Medium,45.67760655268526,High Risk
261,IT,Female,68,6.0,60,High,50.772924576358065,Medium Risk
262,Engineering,Male,75,25.0,92,Medium,81.54484143299669,Low Risk
263,Arts,Male,61,32.0,74,Medium,86.20783819892634,Low Risk
264,Business,Female,91,14.0,85,High,68.41849613721006,Low Risk
265,Health,Female,91,1.0,39,Medium,40.83009028749496,High Risk
266,Business,Male,86,6.0,66,High,62.23321999976021,Medium Risk
267,Health,Male,75,31.0,35,Medium,77.14881388066891,Low Risk
268,Business,Male,48,3.0,88,Low,44.419085805489075,High Risk
269,Arts,Male,78,19.0,45,Low,61.14068739552296,Medium Risk
270,Health,Male,90,31.0,87,Medium,93.3165138661043,Low Risk
271,Engineering,Female,58,27.0,42,Low,64.04192043372689,Medium Risk
272,Business,Female,77,12.0,59,High,55.37454604410627,Medium Risk
273,Business,Male,45,0.0,74,Medium,47.08830038874181,High Risk
274,Health,Male,91,34.0,66,High,76.46177909827074,Low Risk
275,Engineering,Female,86,29.0,62,Low,76.8732185911935,Low Risk
276,Engineering,Male,54,24.0,37,High,58.23758439663768,Medium Risk
277,Arts,Male,96,15.0,96,Low,81.64334887169605,Low Risk
278,Engineering,Male,59,18.0,61,Low,66.96655418368857,Low Risk
279,Engineering,Male,48,0.0,79,Low,49.23935235920772,High Risk
280,Engineering,Male,71,4.0,59,High,44.63675024815666,High Risk
281,IT,Female,43,21.0,95,Low,77.04922746118363,Low Risk
282,Arts,Male,89,23.0,78,Medium,75.01574953733527,Low Risk
283,Business,Male,57,3.0,80,Low,53.98532429675102,Medium Risk
284,Health,Male,44,17.0,48,Medium,59.563134870525964,Medium Risk
285,Business,Female,59,15.0,42,Medium,56.18966464112981,Medium Risk
286,Arts,Female,62,17.0,82,Medium,66.63462230114474,Low Risk
287,Health,Female,50,21.0,48,Medium,52.90932736936727,Medium Risk
288,Arts,Female,76,1.0,99,High,49.37845222244429,High Risk
289,Engineering,Male,61,20.0,41,Medium,56.51323782748522,Medium Risk
290,Health,Female,97,28.0,83,Low,82.25869663217448,Low Risk
291,Engineering,Male,43,25.0,89,Medium,66.79119201831638,Low Risk
292,Business,Male,68,20.0,47,Low,51.705525195579966,Medium Risk
293,Business,Female,83,16.0,90,High,71.23764600406007,Low Risk
294,Health,Female,73,15.0,90,Medium,69.7321835130781,Low Risk
295,Health,Female,52,17.0,49,Low,67.39168748699423,Low Risk
296,Arts,Female,81,8.0,91,High,61.346960187516224,Medium Risk
297,Arts,Female,48,30.0,92,High,86.01570223837109,Low Risk
298,Engineering,Male,81,13.0,69,Low,61.50076845206021,Medium Risk
299,Health,Female,70,1.0,50,Medium,34.873665400406885,High Risk
300,Business,Female,46,13.0,42,High,44.15775360346061,High Risk
301,Arts,Female,43,32.0,79,Low,87.53131700126289,Low Risk
302,Arts,Male,58,34.0,74,Medium,82.71096339921071,Low Risk
303,Business,Female,81,19.0,88,High,73.82286623575835,Low Risk
304,Arts,Male,69,1.0,48,Low,29.435231863287775,High Risk
305,Engineering,Female,70,18.0,93,High,72.03352607416757,Low Risk
306,Health,Female,74,17.0,87,High,72.75956875052869,Low Risk
307,Business,Male,96,15.0,61,Low,64.32451465246658,Medium Risk
308,Health,Female,60,3.0,81,High,39.65769217055399,High Risk
309,Arts,Male,70,11.0,40,Low,41.9966076629794,High Risk
310,Arts,Male,58,28.0,89,Medium,88.07723076532653,Low Risk
311,Business,Male,70,6.0,78,Low,63.50400602238277,Medium Risk
312,Engineering,Female,92,13.0,52,Medium,54.780164984772405,Medium Risk
313,IT,Female,71,11.0,50,High,54.93654072319653,Medium Risk
314,Business,Female,41,34.0,46,Low,58.72856329137897,Medium Risk
315,IT,Male,98,4.0,54,Low,61.12589769196971,Medium Risk
316,IT,Female,91,16.0,79,Low,74.02141508736543,Low Risk
317,Engineering,Male,49,31.0,98,Low,88.7978489916992,Low Risk
318,IT,Female,41,9.0,93,Medium,44.459439916904756,High Risk
319,IT,Male,41,16.0,56,Medium,53.56582261154933,Medium Risk
320,Engineering,Male,99,4.0,81,High,62.403955617892976,Medium Risk
321,IT,Male,63,8.0,63,High,54.86157442474506,Medium Risk
322,IT,Female,56,32.0,79,High,85.1392067885871,Low Risk
323,IT,Male,71,17.0,43,High,55.444708136848504,Medium Risk
324,Business,Male,55,8.0,58,Low,41.99502216542451,High Risk
325,Business,Male,55,17.0,49,Medium,69.12817709307697,Low Risk
326,Business,Male,85,13.0,70,Medium,63.939073003569234,Medium Risk
327,Engineering,Male,78,24.0,47,Medium,61.01329027883415,Medium Risk
328,Arts,Male,92,14.0,78,Medium,64.77908661125389,Medium Risk
329,IT,Female,70,5.0,70,High,42.13701350212571,High Risk
330,IT,Female,82,28.0,95,Low,85.58825304262163,Low Risk
331,Engineering,Male,63,14.0,74,Medium,66.81615227644627,Low Risk
332,IT,Female,40,28.0,61,Low,65.21697879823262,Low Risk
333,Business,Female,50,3.0,35,Low,27.371393764461757,High Risk
334,Arts,Male,94,17.0,68,Low,75.52913562908049,Low Risk
335,Health,Male,60,15.0,55,Low,48.75514026965967,High Risk
336,IT,Male,43,10.0,67,Medium,47.922101645996676,High Risk
337,Business,Female,46,13.0,41,Medium,41.37221776364691,High Risk
338,Health,Male,65,2.0,99,Medium,61.024783753530116,Medium Risk
339,Arts,Female,86,17.0,37,High,47.986629774483,High Risk
340,Health,Male,89,19.0,85,Medium,72.24881352511206,Low Risk
341,Business,Female,51,17.0,88,High,62.670526045432794,Medium Risk
342,Health,Male,70,12.0,93,High,65.19241966914439,Low Risk
343,Engineering,Male,56,3.0,40,High,41.36856502179458,High Risk
344,Health,Female,72,13.0,63,Medium,54.917316742078825,Medium Risk
345,IT,Female,50,32.0,51,Medium,64.9858963708261,Medium Risk
346,IT,Female,67,17.0,94,Medium,87.93034654510483,Low Risk
347,Engineering,Female,71,7.0,56,High,55.0112973507318,Medium Risk
348,Business,Female,40,33.0,58,High,68.06857359638725,Low Risk
349,IT,Female,86,4.0,85,Low,64.05828912429935,Medium Risk
350,Arts,Male,67,4.0,84,High,47.438272754732324,High Risk
351,IT,Female,92,30.0,45,High,84.61784600355247,Low Risk
352,IT,Male,81,8.0,90,Medium,77.4922377636223,Low Risk
353,Business,Male,46,31.0,76,Low,77.62729474713235,Low Risk
354,Health,Female,41,32.0,73,Low,60.54401027194319,Medium Risk
355,IT,Male,81,2.0,82,Low,51.8506184256133,Medium Risk
356,Engineering,Female,63,29.0,91,Medium,86.32695193001594,Low Risk
357,Health,Female,43,11.0,55,Low,41.721102017001826,High Risk
358,Arts,Male,83,28.0,54,Low,82.23319132550058,Low Risk
359,Business,Male,58,2.0,49,Medium,40.27894358661519,High Risk
360,Arts,Female,65,25.0,85,Low,72.51114699540523,Low Risk
361,Health,Female,50,29.0,96,High,80.69358886462751,Low Risk
362,Health,Male,79,8.0,71,High,51.98700067616545,Medium Risk
363,Health,Male,89,25.0,40,High,67.10449072952535,Low Risk
364,Arts,Male,82,1.0,60,High,43.37244055740469,High Risk
365,Health,Male,50,2.0,42,High,38.948570801398226,High Risk
366,Arts,Female,84,3.0,38,High,54.49607234098597,Medium Risk
367,Health,Female,42,24.0,55,High,49.662870000585485,High Risk
368,Engineering,Female,51,12.0,65,High,39.71070228274149,High Risk
369,Health,Female,42,34.0,55,High,67.77896546889168,Low Risk
370,Arts,Male,81,22.0,59,Medium,60.03950580702791,Medium Risk
371,IT,Male,66,8.0,49,Medium,46.0272696220255,High Risk
372,Health,Female,88,1.0,69,High,56.14361668283556,Medium Risk
373,IT,Female,93,30.0,83,Medium,98.91485138360093,Low Risk
374,Engineering,Female,41,1.0,77,Medium,41.55836735229169,High Risk
375,Business,Female,88,31.0,75,High,85.59106865090253,Low Risk
376,Engineering,Female,55,17.0,71,High,48.17969050056149,High Risk
377,Health,Female,41,12.0,91,Medium,57.50711089511479,Medium Risk
378,IT,Female,99,4.0,76,High,61.12772356329677,Medium Risk
379,IT,Female,93,9.0,81,High,69.98374088527648,Low Risk
380,Arts,Female,69,24.0,95,High,76.09907139082546,Low Risk
381,IT,Male,59,33.0,48,High,68.18968439858486,Low Risk
382,Arts,Female,77,29.0,87,Medium,76.5819864681749,Low Risk
383,Business,Male,67,6.0,68,Low,36.752243158695606,High Risk
384,Health,Male,64,5.0,58,Medium,38.3490174552193,High Risk
385,Arts,Female,71,2.0,54,Low,32.97804511448191,High Risk
386,Business,Female,49,12.0,64,Low,52.32027377252366,Medium Risk
387,IT,Male,99,2.0,41,Low,43.14119565999886,High Risk
388,IT,Male,81,25.0,70,Medium,73.07057721955127,Low Risk
389,Business,Female,79,23.0,72,Medium,68.29352172294873,Low Risk
390,IT,Male,72,17.0,86,Medium,37.80460740492539,High Risk
391,Business,Female,52,11.0,49,Medium,53.89986449248531,Medium Risk
392,Arts,Female,95,1.0,80,Medium,51.59837686333927,Medium Risk
393,Arts,Female,80,10.0,57,Low,52.47547958090056,Medium Risk
394,Business,Male,93,33.0,46,Medium,71.57064700826415,Low Risk
395,Arts,Male,81,25.0,78,Low,84.93158206064379,Low Risk
396,Arts,Female,86,17.0,49,Medium,62.51057362222395,Medium Risk
397,Arts,Male,76,20.0,83,Medium,68.89180828840479,Low Risk
398,Engineering,Male,93,21.0,55,High,67.89662233193586,Low Risk
399,Health,Male,55,29.0,49,Low,75.61907953274923,Low Risk
400,IT,Male,84,17.0,48,Medium,73.46218340871233,Low Risk
401,Engineering,Male,61,7.0,76,Medium,51.509598774304564,Medium Risk
402,Arts,Male,96,33.0,49,Medium,76.6017110831644,Low Risk
403,Business,Male,59,8.0,97,High,49.08251309716617,High Risk
404,Arts,Female,89,19.0,61,Low,67.98976795852394,Low Risk
405,Health,Male,82,17.0,87,Medium,83.4029106739477,Low Risk
406,Arts,Male,66,18.0,86,Medium,76.29750678596602,Low Risk
407,Business,Male,80,4.0,97,Medium,48.85902079300206,High Risk
408,Health,Male,55,10.0,87,High,51.19942203786183,Medium Risk
409,Arts,Male,73,14.0,91,Medium,65.6655534566613,Low Risk
410,Health,Male,71,7.0,86,Low,59.07911490856079,Medium Risk
411,IT,Male,65,18.0,77,Low,65.37979785082946,Low Risk
412,IT,Male,64,22.0,41,Low,57.01986788587638,Medium Risk
413,Arts,Female,41,26.0,76,Low,69.94857635141966,Low Risk
